Kawartha,2020,American Robin,43,NA
Kawartha,2020,Bald Eagle,8,NA
Kawartha,2020,Barred Owl,1,NA
Kawartha,2020,Blue Jay,257,NA
Kawartha,2020,Bohemian Waxwing,158,NA
Kawartha,2020,Brown Creeper,2,NA
Kawartha,2020,Canada Goose,93,NA
Kawartha,2020,Cedar Waxwing,270,NA
Kawartha,2020,Common Goldeneye,21,NA
Kawartha,2020,Common Grackle,1,US
Kawartha,2020,Common Merganser,8,NA
Kawartha,2020,Common Raven,93,NA
Kawartha,2020,Downy Woodpecker,32,NA
Kawartha,2020,European Starling,488,NA
Kawartha,2020,Evening Grosbeak,160,NA
Kawartha,2020,Green-winged Teal,1,"US, HC"
Kawartha,2020,Hairy Woodpecker,34,NA
Kawartha,2020,Herring Gull,4,NA
Kawartha,2020,Hooded Merganser,1,NA
Kawartha,2020,House Sparrow,4,NA
Kawartha,2020,Lapland Longspur,1,"US, HC"
Kawartha,2020,Mallard,63,NA
Kawartha,2020,Merlin,1,NA
Kawartha,2020,Mourning Dove,99,NA
Kawartha,2020,Northern Cardinal,48,NA
Kawartha,2020,Northern Shrike,6,NA
Kawartha,2020,Pileated Woodpecker,1,NA
Kawartha,2020,Pine Grosbeak,20,NA
Kawartha,2020,Red-bellied Woodpecker,8,HC
Kawartha,2020,Red-breasted Merganser,1,NA
Kawartha,2020,Red-breasted Nuthatch,29,NA
Kawartha,2020,Red-tailed Hawk,4,NA
Kawartha,2020,Ring-billed Gull,1,NA
Kawartha,2020,Rough-legged Hawk,2,NA
Kawartha,2020,Ruffed Grouse,6,NA
Kawartha,2020,Sharp-shinned Hawk,4,NA
Kawartha,2020,Snow Bunting,123,NA
Kawartha,2020,Trumpeter Swan,61,HC
Kawartha,2020,White-breasted Nuthatch,83,NA
Kawartha,2020,White-throated Sparrow,1,NA
Kawartha,2020,Wild Turkey,215,NA
London,2020,American Black Duck,22,NA
London,2020,American Crow,322,NA
London,2020,American Kestrel,6,NA
London,2020,American Robin,456,NA
London,2020,Bald Eagle,46,HC
London,2020,Barred Owl,1,US
London,2020,Belted Kingfisher,18,NA
London,2020,Blue Jay,353,NA
London,2020,Brown Creeper,35,NA
London,2020,Brown-headed Cowbird,315,NA
London,2020,Bufflehead,29,NA
London,2020,Canada Goose,5187,NA
London,2020,Carolina Wren,61,NA
London,2020,Cedar Waxwing,301,NA
London,2020,Common Goldeneye,51,NA
London,2020,Common Grackle,2,NA
London,2020,Common Merganser,81,NA
London,2020,Cooper's Hawk,17,NA
London,2020,Downy Woodpecker,261,NA
London,2020,Eastern Bluebird,17,NA
London,2020,Eastern Screech-Owl,14,NA
London,2020,Eastern Towhee,1,NA
London,2020,European Starling,4338,NA
London,2020,Fox Sparrow,1,NA
London,2020,Glaucous Gull,2,NA
London,2020,Golden-crowned Kinglet,26,NA
London,2020,Great Black-backed Gull,11,NA
London,2020,Great Horned Owl,3,NA
London,2020,Greater Scaup,1,US
London,2020,Hairy Woodpecker,52,NA
London,2020,Hermit Thrush,1,NA
London,2020,Herring Gull,1549,NA
London,2020,Hooded Merganser,97,HC
London,2020,House Sparrow,1339,NA
London,2020,Iceland Gull,1,NA
London,2020,Lesser Black-backed Gull,3,HC
London,2020,Lesser Scaup,1,US
London,2020,Mallard,3228,NA
London,2020,Merlin,8,NA
London,2020,Mourning Dove,839,NA
London,2020,Mute Swan,8,NA
London,2020,Northern Cardinal,655,NA
London,2020,Northern Flicker,5,NA
London,2020,Northern Harrier,1,NA
London,2020,Northern Shrike,1,NA
London,2020,Peregrine Falcon,3,HC
London,2020,Pied-billed Grebe,1,US
London,2020,Pileated Woodpecker,6,NA
London,2020,Red-bellied Woodpecker,159,NA
London,2020,Red-breasted Nuthatch,161,HC
London,2020,Red-tailed Hawk,104,NA
London,2020,Red-winged Blackbird,93,HC
London,2020,Redhead,16,NA
London,2020,Ring-billed Gull,1036,NA
London,2020,Ring-necked Duck,29,US
London,2020,Rough-legged Hawk,3,NA
London,2020,Ruddy Duck,12,NA
London,2020,Sharp-shinned Hawk,13,NA
London,2020,Snow Bunting,30,NA
London,2020,Song Sparrow,35,NA
London,2020,Swamp Sparrow,16,NA
London,2020,Trumpeter Swan,1,US
London,2020,Tufted Titmouse,2,NA
London,2020,White-breasted Nuthatch,176,HC
London,2020,White-crowned Sparrow,9,NA
London,2020,White-throated Sparrow,18,NA
London,2020,White-winged Crossbill,8,NA
London,2020,Wild Turkey,278,NA
London,2020,Wood Duck,4,NA
Peterborough,2020,American Black Duck,12,NA
Peterborough,2020,American Crow,576,NA
Peterborough,2020,American Kestrel,2,NA
Peterborough,2020,American Robin,224,NA
Peterborough,2020,Bald Eagle,1,NA
